Area_desc,full_name
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Filippo Pallucchini
SCIENZE MEDICHE,Maria Teresa Cimmarusti
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Marianna Delussi
INGEGNERIA CIVILE E ARCHITETTURA ,Mattia Pistolesi
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Olivia Realdon
SCIENZE BIOLOGICHE ,Anna  De Bartolo
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Patrizia Catellani
SCIENZE BIOLOGICHE ,Luca Ballotto
SCIENZE MEDICHE,ALESSANDRA PANTALEO
SCIENZE CHIMICHE ,LARA PERRELLA
SCIENZE BIOLOGICHE ,Beatrice Maria Greco
SCIENZE BIOLOGICHE ,Tommaso  Angelone
SCIENZE ECONOMICHE E STATISTICHE ,Maurizio Nicolaio
SCIENZE ECONOMICHE E STATISTICHE ,Irene Torrini
SCIENZE GIURIDICHE ,RITA CARUSO
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Anna Tiso
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",LORENZO FILOSA
SCIENZE ECONOMICHE E STATISTICHE ,Enrico Bovo
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Valentino Meacci
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Laura Ferrero
SCIENZE ECONOMICHE E STATISTICHE ,Fabrizio Culotta
SCIENZE GIURIDICHE ,Stefano  Corso
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Giulia Sebastianutto
SCIENZE POLITICHE E SOCIALI ,Lucrezia Alice Moschetta
SCIENZE POLITICHE E SOCIALI ,Eugenia Mercuri
SCIENZE GIURIDICHE ,Francesca ROTOLO 
SCIENZE GIURIDICHE ,Marcello DEOTTO
 SCIENZE MATEMATICHE E INFORMATICHE ,Alessandra Grossi
SCIENZE BIOLOGICHE ,Valeria Malacarne
SCIENZE BIOLOGICHE ,Elia Angelino 
SCIENZE BIOLOGICHE ,Giulia Rossino
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,LIVIO D'ALVIA
SCIENZE MEDICHE,Eleonora Pagan
SCIENZE MEDICHE,Alina Tratsevich
SCIENZE ECONOMICHE E STATISTICHE ,MARTA GIACHELLO
 SCIENZE MATEMATICHE E INFORMATICHE ,Edoardo Trombin
SCIENZE MEDICHE,Jasmine Molaschi
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",ZAIRA ROMEO
SCIENZE MEDICHE,IRENE CARUSO
SCIENZE BIOLOGICHE ,MANUELA DI CARLO
SCIENZE MEDICHE,ALFONC BABA
SCIENZE MEDICHE,Chiara Noviello
INGEGNERIA CIVILE E ARCHITETTURA ,FEDERICA ROMAGNOLI
SCIENZE POLITICHE E SOCIALI ,Paolo Pasetti
SCIENZE MEDICHE,Claudia Biagi
SCIENZE MEDICHE,Giulia Matteucci
SCIENZE MEDICHE,CELESTE LAURIOLA
SCIENZE MEDICHE,Alessio Faralli
SCIENZE MEDICHE,Daniela  Melchiorre
SCIENZE MEDICHE,Michele Volpi
SCIENZE MEDICHE,Assunta Ingannato
SCIENZE BIOLOGICHE ,Giulia Fianco
SCIENZE ECONOMICHE E STATISTICHE ,ALESSANDRO FERALDI
SCIENZE MEDICHE,ERIKA RENZI
SCIENZE MEDICHE,Gessica Sala
SCIENZE GIURIDICHE ,MARIA  EPIFANIA
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",ARIANNA COSTANTINI
INGEGNERIA CIVILE E ARCHITETTURA ,FRANCESCA SARNO
SCIENZE BIOLOGICHE ,Simona Incollu
SCIENZE ECONOMICHE E STATISTICHE ,Giovanna Apicella
SCIENZE MEDICHE,DANIELA SORRIENTO
SCIENZE ECONOMICHE E STATISTICHE ,Valentina Tocchioni
SCIENZE ECONOMICHE E STATISTICHE ,Mariano Porcu
SCIENZE ECONOMICHE E STATISTICHE ,Isabella Sulis
SCIENZE POLITICHE E SOCIALI ,Marco Pitzalis
SCIENZE POLITICHE E SOCIALI ,Emanuela Spanò
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Barbara Barbieri
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Assal SELMA
SCIENZE MEDICHE,Francesco  Nicoli
SCIENZE MEDICHE,Davide Proietto
SCIENZE ECONOMICHE E STATISTICHE ,Stefano Montrasio
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Nicola Pesce
SCIENZE BIOLOGICHE ,Giorgia Bolognesi 
SCIENZE BIOLOGICHE ,Vincenzo  Iannuzzi
SCIENZE BIOLOGICHE ,Daniela Colucci
SCIENZE POLITICHE E SOCIALI ,Marino Pezzolo
SCIENZE BIOLOGICHE ,Silvia Concetta Colucci
SCIENZE BIOLOGICHE ,Graziana Colaianni
SCIENZE BIOLOGICHE ,Angela Oranger
SCIENZE MEDICHE,Angelo Torrente
SCIENZE MEDICHE,Fabrizio Guajana
SCIENZE ECONOMICHE E STATISTICHE ,Andrea Priulla
SCIENZE FISICHE ,Francesco Giuliani
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Grazia D'Onofrio
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Giuseppina Iannacone
SCIENZE GIURIDICHE ,Massimiliano Malvicini
SCIENZE BIOLOGICHE ,Annamaria Cerantonio
SCIENZE BIOLOGICHE ,Fabio  Busonero
 SCIENZE MATEMATICHE E INFORMATICHE ,Sileshi Nibret Zeleke
SCIENZE MEDICHE,Jessica Gambardella
SCIENZE MEDICHE,Erica Busca
SCIENZE MEDICHE,Isabella Santomauro
SCIENZE MEDICHE,Erika Bassi
SCIENZE MEDICHE,Roberta  Bernardini
SCIENZE MEDICHE,Felicia Carotenuto
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Mario Mezzanzanica
 SCIENZE MATEMATICHE E INFORMATICHE ,Agnese Iannaccone
SCIENZE POLITICHE E SOCIALI ,giulia ganugi
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Sileshi Nibret  Zeleke
SCIENZE ECONOMICHE E STATISTICHE ,Federico Benassi
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Elena Adelucci
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Niccolò Alunni
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Martina Falagiani
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,AMIN TUNI GURE
SCIENZE ECONOMICHE E STATISTICHE ,Revathi Palat Rao
SCIENZE ECONOMICHE E STATISTICHE ,Lucia Coppola
SCIENZE ECONOMICHE E STATISTICHE ,Isabella  Siciliani
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Paolo Mattesini
SCIENZE MEDICHE,Maria Cristina Ferrara
SCIENZE BIOLOGICHE ,Giuseppina Basta
SCIENZE FISICHE ,Diletta Ami
SCIENZE POLITICHE E SOCIALI ,Lorenzo Spadetto
SCIENZE MEDICHE,Francesca Ingravallo
SCIENZE POLITICHE E SOCIALI ,Michele Marzulli
SCIENZE POLITICHE E SOCIALI ,Giuseppe Gargiulo
SCIENZE BIOLOGICHE ,Ombretta Guardiola
SCIENZE ECONOMICHE E STATISTICHE ,Erika Dicorato
SCIENZE BIOLOGICHE ,Marta Balietti 
SCIENZE MEDICHE,Paolo Balietti 
SCIENZE GIURIDICHE ,Serena  Cancellieri
SCIENZE MEDICHE,Barbara  Carrieri
SCIENZE POLITICHE E SOCIALI ,Georgia Casanova
SCIENZE BIOLOGICHE ,Tiziana Casoli
SCIENZE MEDICHE,Giuseppina Dell'Aquila
SCIENZE ECONOMICHE E STATISTICHE ,Mirko Di Rosa
SCIENZE MEDICHE,Massimiliano Fedecostante
SCIENZE POLITICHE E SOCIALI ,Matteo Finco
SCIENZE MEDICHE,Chiara Giordani
SCIENZE MEDICHE,Giada Ida Greco
SCIENZE MEDICHE,Marco Malavolta
SCIENZE MEDICHE,Francesca Marchegiani
SCIENZE MEDICHE,Giulia Matacchione
SCIENZE BIOLOGICHE ,Ersilia Paparazzo
SCIENZE MEDICHE,Rina Recchioni
SCIENZE MEDICHE,Fabio Salvi
SCIENZE POLITICHE E SOCIALI ,Marco Socci
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Vera Stara
SCIENZE MEDICHE,Serena Marcozzi
SCIENZE MEDICHE,Maria Elisa Giuliani
SCIENZE BIOLOGICHE ,Rosanna Maniscalco
SCIENZE BIOLOGICHE ,Raffaella Moresi
SCIENZE MEDICHE,Luigi  Pranno
SCIENZE MEDICHE,Leonardo Biscetti
SCIENZE BIOLOGICHE ,Matilde Sbriscia
SCIENZE MEDICHE,Carlo Zottola
SCIENZE BIOLOGICHE ,Anna Picca
SCIENZE BIOLOGICHE ,Bianca Rocca
SCIENZE BIOLOGICHE ,Maria Cristina D'adamo
SCIENZE FISICHE ,Gianfranco Tassielli
SCIENZE BIOLOGICHE ,Federica Papaccio
SCIENZE MEDICHE,Elena Ciaglia
SCIENZE MEDICHE,Jessica Dal Col
SCIENZE MEDICHE,Luigi  Losco
SCIENZE MEDICHE,Francesco Sabbatino
SCIENZE MEDICHE,Alessandro Caputo
SCIENZE MEDICHE,Celestino  Sardu
SCIENZE CHIMICHE ,Manuela Giovanna Basilicata
SCIENZE MEDICHE,Lucia  Scisciola
SCIENZE MEDICHE,Katherine  Esposito
SCIENZE MEDICHE,Ada  Pesapane
SCIENZE MEDICHE,Giuseppe  Bellastella
SCIENZE MEDICHE,Maria Ida Maiorino
SCIENZE MEDICHE,Giovanni Francesco Nicoletti
SCIENZE MEDICHE,Lucio Publio Gallo
SCIENZE POLITICHE E SOCIALI ,Ludovica Rossotti
SCIENZE ECONOMICHE E STATISTICHE ,MICHELE BELLONI
SCIENZE POLITICHE E SOCIALI ,Francesca Donati
 SCIENZE MATEMATICHE E INFORMATICHE ,Giovanni Paragliola
SCIENZE MEDICHE,Marianna Noale
SCIENZE BIOLOGICHE ,Giulia Musso
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Francesca Vianello
SCIENZE MEDICHE,Chiara Ceolin
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Giacomo Sasso
SCIENZE MEDICHE,Francesco Nicoli
SCIENZE FISICHE ,Antonino Natalello
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Adele Magi
SCIENZE MEDICHE,Marco Malavolta
SCIENZE POLITICHE E SOCIALI ,Simone Carlo
SCIENZE CHIMICHE ,Jacopo Patrussi
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Nicola Pesce
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Alessandro Pagani
SCIENZE MEDICHE,Alessandra Stasi
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Alessandra Dodich
SCIENZE MEDICHE,Laura Smeldy Jurado Medina
SCIENZE CHIMICHE ,Gaia Meoni
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Stefano Ghidoni
SCIENZE BIOLOGICHE ,ANNALISA COZZA
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Alessandro Pagani
 SCIENZE MATEMATICHE E INFORMATICHE ,Paola Salvatore
SCIENZE ECONOMICHE E STATISTICHE ,Luca Vota
SCIENZE ECONOMICHE E STATISTICHE ,Rosella Rettaroli
SCIENZE MEDICHE,Mariapia Giuditta Cratere
SCIENZE MEDICHE,Melissa Danna
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Marcella Piacentino
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,FRANCESCO SCHETTER
 SCIENZE MATEMATICHE E INFORMATICHE ,Claudia Di Napoli
SCIENZE MEDICHE,Maria Laura  Ferrando
SCIENZE MEDICHE,Marco Trerotola
SCIENZE BIOLOGICHE ,Maurizio Ronci
SCIENZE BIOLOGICHE ,Patrizia Di Iorio
SCIENZE BIOLOGICHE ,Concetta Saponaro
SCIENZE BIOLOGICHE ,Simona De Summa
SCIENZE BIOLOGICHE ,Antonio  Tufaro
SCIENZE MEDICHE,Giuseppe Manuel De Palma
SCIENZE BIOLOGICHE ,Daniele Vergara
SCIENZE BIOLOGICHE ,Anna Maria Giudetti
SCIENZE CHIMICHE ,Francesco Paolo Fanizzi
SCIENZE ECONOMICHE E STATISTICHE ,Biagio Iacolare
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Marta Massei
SCIENZE BIOLOGICHE ,Venturina Stagnu
