Area_desc,full_name
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Fabio  Lucidi
SCIENZE MEDICHE,Alessandro  Laviano
SCIENZE BIOLOGICHE ,Stefano Gianni
SCIENZE ECONOMICHE E STATISTICHE ,Francesca Zantomio
SCIENZE GIURIDICHE ,Luisa  Corazza
SCIENZE ECONOMICHE E STATISTICHE ,LORENZO CAPPELLARI 
SCIENZE POLITICHE E SOCIALI ,Emanuela Maria Sala
SCIENZE BIOLOGICHE ,GRAZIANO PESOLE 
SCIENZE BIOLOGICHE ,Sergio Davinelli
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Salvatore Garofalo
INGEGNERIA CIVILE E ARCHITETTURA ,Tiziana Ferrante
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Zaccaria Del Prete
SCIENZE MEDICHE,NICOLA QUARANTA
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Giuseppe Di Felice
SCIENZE POLITICHE E SOCIALI ,Riccardo Pronzato
SCIENZE MEDICHE,Giuseppe Calcagno
SCIENZE ECONOMICHE E STATISTICHE ,Anna Velyka
SCIENZE MEDICHE,VALERIA HASENMAJER
SCIENZE ECONOMICHE E STATISTICHE ,Andrea Ballerini
SCIENZE BIOLOGICHE ,ANTONIO  FRIGERI
SCIENZE MEDICHE,Francesca Cecchi
SCIENZE BIOLOGICHE ,Giuseppe  Passarino
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Alessandro Volpe
SCIENZE MEDICHE,Federica Agosta
SCIENZE ECONOMICHE E STATISTICHE ,ELISABETTA VENEZIA
SCIENZE ECONOMICHE E STATISTICHE ,Alessandra De Rose
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Mattia  Dimitri 
SCIENZE ECONOMICHE E STATISTICHE ,Salvatore  Strozza
SCIENZE POLITICHE E SOCIALI ,Giustina Orientale Caputo
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Pasquale  Arpaia
SCIENZE ECONOMICHE E STATISTICHE ,Lorenzo Mercurio
SCIENZE POLITICHE E SOCIALI ,Andrea Antonini
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Sara Zaniboni
SCIENZE POLITICHE E SOCIALI ,Marco Alberio
SCIENZE POLITICHE E SOCIALI ,Marco Albertini
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Francesca  Pongiglione
SCIENZE ECONOMICHE E STATISTICHE ,MARIA CARELLA
SCIENZE BIOLOGICHE ,Andrea Graziani
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Roberto  Baiocco
SCIENZE MEDICHE,MICHELE VIRGOLESI
SCIENZE ECONOMICHE E STATISTICHE ,Cristiana Abbafati
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",FRANCESCO PAGNINI 
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",CAMILLO MARRA 
SCIENZE POLITICHE E SOCIALI ,Dario Raspanti
SCIENZE MEDICHE,FEDERICA ANDREA CERASUOLO
SCIENZE ECONOMICHE E STATISTICHE ,ALESSANDRA DI BELLO
SCIENZE BIOLOGICHE ,ADRIANO FONZINO
SCIENZE ECONOMICHE E STATISTICHE ,Gianluca Fiorentini
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Maria Francesca Freda
SCIENZE MEDICHE,Alberto Dal Molin
SCIENZE POLITICHE E SOCIALI ,Loris Vergolini
SCIENZE MEDICHE,Sarah Damanti
SCIENZE BIOLOGICHE ,Giada Sene
SCIENZE MEDICHE,Pasquale Mone
SCIENZE GIURIDICHE ,Valerio Rotondo
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",CHIARA ANTONUCCI
SCIENZE ECONOMICHE E STATISTICHE ,Cristina Mele
SCIENZE BIOLOGICHE ,Flavia  Valtorta
SCIENZE MEDICHE,Luca Rampoldi
SCIENZE MEDICHE,LEONARDO  BENCIVENGA
SCIENZE MEDICHE,Marianna  Talia
SCIENZE MEDICHE,VINCENZO SOLFRIZZI
SCIENZE GIURIDICHE ,VALERIA DI COMITE
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Sarah Songhorian
SCIENZE MEDICHE,Chukwuma Okoye
 SCIENZE MATEMATICHE E INFORMATICHE ,Stefano Ricciardi
SCIENZE MEDICHE,Giuseppe  Bellelli
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Bianca Monachesi
SCIENZE POLITICHE E SOCIALI ,Laura Santi Amantini
SCIENZE MEDICHE,ANGELA PALOMBA
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Diletta Barbiani
SCIENZE BIOLOGICHE ,Cellot  Giada
SCIENZE CHIMICHE ,Luca Moretti
SCIENZE POLITICHE E SOCIALI ,Roberta Sala
SCIENZE CHIMICHE ,Cristina  Airoldi
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",SARA  TROLESE 
SCIENZE CHIMICHE ,Leonardo Tenori
SCIENZE ECONOMICHE E STATISTICHE ,Roberto Impicciatore
SCIENZE ECONOMICHE E STATISTICHE ,Carlos Javier  Gil Hernandez 
INGEGNERIA CIVILE E ARCHITETTURA ,Elena  Bellini 
SCIENZE MEDICHE,ANNA MARIA MARTONE
SCIENZE MEDICHE,Elisa Bientinesi
SCIENZE ECONOMICHE E STATISTICHE ,Giulia Giupponi
